# Constructed from biom file
#OTU ID	0-kraken_report	1-kraken_report	2-kraken_report
1646498	47.0	43.0	30.0
2950074	46.0	20.0	21.0
2714110	41.0	27.0	22.0
3020716	39.0	18.0	21.0
1407071	36.0	28.0	25.0
2079596	46.0	14.0	21.0
2983215	25.0	20.0	18.0
2563897	26.0	20.0	21.0
3120518	24.0	15.0	15.0
1608473	23.0	16.0	15.0
1808001	22.0	10.0	15.0
3081771	34.0	0.0	22.0
2601122	28.0	0.0	23.0
2929512	29.0	23.0	0.0
1636603	21.0	0.0	0.0
2929509	17.0	0.0	13.0
2925837	20.0	24.0	0.0
2905879	21.0	0.0	20.0
2773709	11.0	10.0	12.0
2929514	20.0	32.0	0.0
2004647	12.0	0.0	0.0
3151494	10.0	0.0	0.0
3027470	13.0	0.0	0.0
2725684	15.0	0.0	15.0
40214	3084.0	3672.0	957.0
470	2266.0	1670.0	1531.0
48296	128.0	97.0	81.0
106654	83.0	57.0	44.0
1530123	63.0	37.0	50.0
471	29.0	19.0	17.0
202956	866.0	303.0	428.0
40215	455.0	177.0	314.0
108980	257.0	130.0	160.0
29430	195.0	91.0	138.0
756892	171.0	101.0	109.0
28090	157.0	121.0	77.0
52133	99.0	44.0	80.0
2136182	94.0	72.0	121.0
1879050	94.0	81.0	66.0
108981	77.0	48.0	56.0
487316	62.0	25.0	22.0
2006115	51.0	18.0	34.0
202951	44.0	54.0	85.0
106648	46.0	37.0	10.0
70346	44.0	31.0	23.0
2943497	30.0	30.0	45.0
1776741	31.0	24.0	17.0
2053287	34.0	22.0	23.0
2662362	25.0	10.0	0.0
280145	25.0	14.0	12.0
40216	23.0	16.0	22.0
106649	24.0	0.0	0.0
1789224	21.0	12.0	0.0
202952	49.0	26.0	0.0
202950	20.0	11.0	0.0
1776742	19.0	0.0	12.0
2004650	19.0	25.0	19.0
1871111	15.0	19.0	12.0
2715163	14.0	15.0	0.0
2715164	13.0	0.0	0.0
1324350	12.0	0.0	0.0
70348	12.0	0.0	0.0
2609668	11.0	0.0	0.0
465797	13.0	0.0	0.0
1839785	13.0	0.0	0.0
34062	2636.0	3909.0	2563.0
2953752	176.0	57.0	0.0
3149046	47.0	86.0	34.0
3149047	37.0	33.0	31.0
3076087	46.0	43.0	31.0
2780077	26.0	0.0	0.0
386891	237.0	0.0	0.0
90239	25.0	18.0	0.0
29433	28.0	0.0	0.0
476	23.0	0.0	0.0
2904120	18.0	0.0	0.0
2904119	18.0	0.0	0.0
34061	12.0	11.0	0.0
480	12.0	0.0	0.0
2904122	10.0	0.0	0.0
90241	10.0	0.0	0.0
3156079	73.0	0.0	0.0
1028416	35.0	0.0	21.0
3043330	49.0	54.0	0.0
1699621	28.0	0.0	0.0
2708350	15.0	0.0	0.0
1699623	34.0	0.0	0.0
1415574	14.0	0.0	0.0
2772254	29.0	0.0	0.0
3067275	12.0	0.0	0.0
3064892	17.0	0.0	0.0
861445	26.0	23.0	0.0
664643	3634.0	0.0	0.0
29495	2070.0	22.0	17.0
691	760.0	0.0	0.0
670	619.0	46.0	46.0
663	221.0	0.0	74.0
680	91.0	56.0	0.0
50719	60.0	0.0	0.0
669	69.0	0.0	0.0
190895	31.0	0.0	0.0
696485	17.0	0.0	0.0
512649	11.0	0.0	0.0
674	1819.0	0.0	0.0
666	4133.0	55.0	33.0
1763883	1005.0	0.0	0.0
685	789.0	0.0	0.0
676	596.0	0.0	0.0
2751178	57.0	0.0	0.0
2163016	55.0	0.0	0.0
1116375	29.0	0.0	0.0
391586	23.0	0.0	0.0
2912314	17.0	0.0	0.0
3234954	17.0	0.0	0.0
2785124	19.0	0.0	0.0
3232307	16.0	0.0	0.0
2993714	23.0	0.0	0.0
2751179	16.0	0.0	0.0
3042300	14.0	0.0	0.0
2819101	13.0	0.0	0.0
3016528	11.0	0.0	0.0
2883075	15.0	0.0	0.0
2819096	11.0	0.0	0.0
2751176	11.0	0.0	0.0
3021011	10.0	0.0	0.0
672	286.0	23.0	15.0
28172	224.0	0.0	15.0
29494	160.0	0.0	22.0
1481663	157.0	0.0	0.0
2711221	119.0	0.0	0.0
114054	115.0	0.0	0.0
1824638	81.0	0.0	0.0
29498	51.0	0.0	0.0
379097	17.0	0.0	0.0
